name,COG0016,COG0049,COG0051,COG0052,COG0064,COG0081,COG0085,COG0086,COG0087,COG0090,COG0091,COG0092,COG0093,COG0094,COG0096,COG0098,COG0099,COG0100,COG0103,COG0201,COG0202,COG0480,COG0532,COG0533,COG0541,COG0552,COG5257,PCA_Score1(0.4191431362755863),PCA_Score2(0.09763463057784694),PCA_Score3(0.07062674192378664)
ANME2a_UWMA-0185_GCA_012962625,0.368742192,0.123470037,0.234866424,0.301395762,0.549847255,0.20257888,0.21508086,0.122485057,0.272473295,0.744438804,0.484446484,0.303810162,0.39251082,0.356883597,0.260577101,0.363616672,0.419187995,0.119265877,0.245947202,0.312338768,0.425030847,0.416839256,0.592243118,0.332066372,0.3551319,0.441662784,0.276931628,0.11870545486799082,1.8996266738618313,-0.9279713157269056
Bathyarchaeota-3300028193_21,0.183593336,0.521269953,0.173112315,,,0.259951309,0.233751654,0.397708456,0.240165742,0.180632488,0.210554364,0.374763178,0.482363586,0.487661069,0.363100062,0.128070049,0.163103642,0.262034305,0.325102398,0.052646066,,0.208990195,0.346484273,0.125146121,0.409402529,0.100729186,0.211547593,-1.5670882005688436,-0.46629767521170623,1.431511323875903
CaMethanoflorens_stordalenmirensis2518645542,0.247040523,0.071688264,0.340288881,0.31065785,0.413405487,0.208344028,0.254051595,0.332781349,0.202651103,0.754315858,0.384677105,0.304058902,0.413985707,0.346774627,0.233623998,0.404383731,0.452905396,0.084965646,0.236247761,0.323981267,0.394508305,0.388307783,0.592434594,0.317223753,0.324632713,0.425493741,0.348974389,0.1706242161396624,2.0715347606985413,-1.0644552644054788
CaNuwarchaeum_spEEE104,0.180865762,,0.12368439,,,0.021698949,0.119691596,0.119390424,0.071249304,,0.279462942,0.050599267,0.07129717,,,0.143791601,,,0.061080242,0.168609447,,0.220162441,,,0.371087132,0.032423122,0.238760548,-3.2634364387525907,-0.5604194959073944,0.2761894262236424
CaNuwarchaeum_spEEE17,0.419833397,0.228221116,,,,,0.114877976,0.102176266,0.108918468,0.03218614,0.271090948,,,0.276364211,0.517183292,0.293172591,,,,,,0.156640704,0.125557744,0.119902278,0.292140688,0.474465977,0.157534443,-1.7090089657374348,-0.6388841709414442,-1.0095694232143657
GCA_000007185,0.150677883,0.367944427,0.102138356,0.144215943,0.080890853,0.073963833,0.071192662,0.069457971,0.214120999,0.382106893,0.376400462,0.033179963,0.115747998,0.414870914,0.304341511,0.280924648,0.107260316,0.148346688,0.201161614,0.23191112,0.023112382,,0.250898895,0.081447238,,0.104548982,0.091166879,-4.150837287891777,0.49650238362014065,1.1939930832877428
GCA_000008085,0.172190003,0.337819488,,0.164307231,0.09050823,0.155257594,0.168958009,0.086395024,0.024163268,0.092011818,,0.147580249,0.263606272,0.143287141,0.381162958,0.102025938,0.185162951,0.248928028,0.193867594,0.274840732,0.182145956,0.188283844,0.102430769,0.182538894,,,0.276572014,-3.655389912220512,-0.4788852557689026,-0.034587056387841784
GCA_000009185,,,0.523305894,0.454038757,0.37030089,0.626956097,0.375373191,0.460052007,,0.59645617,,,0.637606128,0.660285923,,0.722888686,0.569112817,,0.565251038,0.466171518,0.664819511,0.421765603,,0.467297536,,0.477869879,0.393685489,3.77867129063688,0.7795809249724287,-1.7391472424774934
GCA_000011205,0.256748629,0.483435311,0.67695361,0.185853266,0.240586116,0.399599787,0.070979345,0.178798519,0.450695794,0.168161874,0.051458958,0.234880265,0.175668394,0.246702338,0.640661749,0.3047329,0.558785582,0.542019286,0.154691801,0.853373227,0.158191327,0.616334923,0.414362484,0.221081228,0.699337996,0.164828923,0.616645474,0.44941627196341616,-1.9534618337934522,0.9099128741587672
GCA_000015145,0.298321467,0.674242132,0.542277254,0.158031574,0.264547394,0.729769455,0.058642985,0.170518018,0.973918879,0.373314483,0.312303655,0.252154113,0.189317692,0.776621118,0.801673914,0.351696102,0.615528594,0.726493918,0.187437514,0.379713529,0.114402166,0.658871287,0.677881444,0.234863742,,0.184674741,0.876006425,2.548223888924608,-3.407677115412575,2.373650804833227
GCA_000015765,0.528009229,0.063762886,0.497318124,0.467711125,0.395379579,0.381690574,0.326043814,0.499451372,0.505696491,0.600221648,0.227548435,0.502646602,0.573532147,0.343217215,0.126195486,0.338616289,0.453741002,0.091991962,0.661059695,0.599931877,0.870164174,0.534452902,0.551766461,0.500469447,,0.296125349,0.597848618,3.383257335536022,2.1927611431015617,-1.3069298546895003
GCA_000016125,0.158644357,0.121657249,0.090426052,0.114126878,0.18438138,0.046287235,0.120074422,0.092729832,0.156234476,0.416153052,0.294770247,0.044985216,0.127434947,0.140069274,0.438835351,0.370259663,0.043832801,0.153619757,0.092122287,0.229748975,0.225449392,0.113373857,0.175060624,0.189673533,0.307668191,0.134012122,0.175539206,-4.5552810015362795,0.6527171449286774,-0.07100312858736063
GCA_000016605,0.248664296,0.483793523,0.655321461,0.186471472,0.251260716,0.41571828,0.071929613,0.184168415,0.391035306,0.15411979,0.032373044,0.27207246,0.195982111,0.22391111,0.6899106,0.296762431,0.425253877,0.510610837,0.149799754,0.910619785,0.145831688,0.579911877,0.437188082,0.240162601,0.700451405,0.17956081,0.549993964,0.23960205831800946,-1.7667511352296563,0.9763876545624071
GCA_000021965,0.674228568,0.08021162,0.614604216,0.574321637,0.478281174,0.580916443,0.435711882,0.606514216,0.775176428,0.674256067,0.171236959,0.548565147,0.724863212,0.424483772,0.142009306,0.353691985,0.629738061,0.102198042,0.771357791,0.758752824,0.801445526,0.631871176,0.737430599,0.543553334,0.778465048,0.303781578,0.733188215,6.317695889601187,2.4139259712918038,-0.2685324512803232
GCA_000025285,0.256301922,0.159020275,0.247108125,0.205300227,0.878730419,0.161673556,0.209719252,0.275164324,0.237723762,0.571093434,0.361670573,0.163887967,0.242250852,0.143568494,0.127562923,0.285671573,0.355248277,0.046691956,0.218156219,0.259771727,0.216575441,0.302298782,,0.244471774,0.221532119,0.346576738,0.174627402,-1.8629923331095353,2.247773515024627,-1.4209285717476834
GCA_000025505,0.250043067,0.144219351,0.239586174,0.208439572,0.888165299,0.183360733,0.210528157,0.289677106,0.237886431,0.54463985,0.453787965,0.205785459,0.237500201,0.133123421,0.184238818,0.296809036,0.317054877,0.036980673,0.215918009,0.28477983,0.19899001,0.304532901,0.433263252,0.219865057,,0.325651523,0.197517447,-1.556797733152828,2.402312595778664,-0.7553617699488783
GCA_000025665,0.358542819,0.111854222,0.197926149,0.274692483,,0.279609076,0.183530761,0.272984772,0.247770597,0.19944604,0.058345264,0.206707415,0.187177796,0.252078718,0.077756852,0.560859441,0.208482469,0.325542287,0.205323684,0.452469229,0.291165944,0.336090485,0.273010367,0.189658317,,0.271571019,0.108348362,-2.219061980792318,1.2539712630117155,-0.9978973406472802
GCA_000063445,0.06372301,0.038371031,0.283368898,0.306238645,0.457547678,0.309434014,0.272343067,0.323651809,0.292909748,0.605459609,0.371890674,0.355521168,0.449246478,0.399320528,0.233743167,0.357538338,0.505096653,0.079438336,0.237537243,0.298700964,0.358384676,0.371505603,0.571568435,0.334571228,,0.386709896,0.294481461,0.06896955791207031,2.018597170930874,-0.8070907753245009
