name,COG0051,COG0087,COG0088,COG0090,COG0091,COG0092,COG0093,COG0094,COG0096,COG0097,COG0185,COG0186,COG0197,COG0198,COG0200,COG0256,PCA_Score1(0.40147826593283),PCA_Score2(0.10586153649689446),PCA_Score3(0.08006198643044722)
ANME2a_UWMA-0185_GCA_012962625,0.234866424,0.272473295,0.158617335,0.744438804,0.484446484,0.303810162,0.39251082,0.356883597,0.260577101,0.251066126,0.054248544,0.44754833,0.446454169,0.080341963,0.498048645,0.456333562,0.039061496823524236,-0.45597148519672004,-1.7704681820412926
Bathyarchaeota-3300028193_21,0.173112315,0.240165742,0.270165039,0.180632488,0.210554364,0.374763178,0.482363586,0.487661069,0.363100062,0.25904712,0.303179213,0.380934859,,0.217790379,0.269614419,0.179755362,-0.6716788780273931,-0.27228981786268763,0.12566465164798288
CaMethanoflorens_stordalenmirensis2518645542,0.340288881,0.202651103,0.209718728,0.754315858,0.384677105,0.304058902,0.413985707,0.346774627,0.233623998,0.228081191,0.063051062,0.417311581,0.369379958,0.114846846,0.548132908,0.460151991,0.04486891148727548,-0.9404490220363818,-1.483965068512183
CaNuwarchaeum_spEEE104,0.12368439,0.071249304,,,0.279462942,0.050599267,0.07129717,,,0.2371908,0.134880368,0.200049826,,,0.155407399,,-2.354478380247666,-1.031169404353332,0.6198781732881764
CaNuwarchaeum_spEEE17,,0.108918468,0.201784405,0.03218614,0.271090948,,,0.276364211,0.517183292,0.191989216,0.157381847,,,,,0.133382089,-1.3099238634696915,-0.09073256134329348,0.20929436292373405
GCA_000007185,0.102138356,0.214120999,0.223708565,0.382106893,0.376400462,0.033179963,0.115747998,0.414870914,0.304341511,0.117454315,0.255192518,0.288612975,0.218948969,0.261961757,0.161916256,0.37752198,-2.108132269913295,-0.6978408753619357,0.40791848181312257
GCA_000008085,,0.024163268,0.244830102,0.092011818,,0.147580249,0.263606272,0.143287141,0.381162958,0.139941828,0.119785911,0.358426567,0.247881209,0.056629396,,0.201568847,-2.557685175654992,-0.620828308565553,-0.32561304960613996
GCA_000009185,0.523305894,,,0.59645617,,,0.637606128,0.660285923,,,0.354977821,0.701580006,,,,,1.7692647969275812,-0.7852702906606654,-1.4704863523533531
GCA_000011205,0.67695361,0.450695794,0.414318487,0.168161874,0.051458958,0.234880265,0.175668394,0.246702338,0.640661749,0.337188053,0.488689404,0.242602984,0.304422014,0.493737902,0.236584745,0.580822086,1.0761832874318835,-1.031283960685387,2.9814730226902486
GCA_000015145,0.542277254,0.973918879,0.78714946,0.373314483,0.312303655,0.252154113,0.189317692,0.776621118,0.801673914,0.629229465,0.824651766,0.784675373,0.684033966,0.431900661,0.80267337,0.804296897,6.752878192170747,-0.8227540523937622,4.045533329433202
GCA_000015765,0.497318124,0.505696491,0.31369904,0.600221648,0.227548435,0.502646602,0.573532147,0.343217215,0.126195486,0.204314639,0.116473758,0.753318036,0.568409972,0.121393983,0.638591854,0.725089116,2.2157025105839967,-1.5276438301253608,-0.9362370585170258
GCA_000016125,0.090426052,0.156234476,0.184876346,0.416153052,0.294770247,0.044985216,0.127434947,0.140069274,0.438835351,0.498228388,0.11179157,0.099603242,0.208931545,0.055312102,0.099909978,0.270190597,-2.749880243868855,-0.5920657214293368,-0.0712954987879163
GCA_000016605,0.655321461,0.391035306,0.343664987,0.15411979,0.032373044,0.27207246,0.195982111,0.22391111,0.6899106,0.275479002,0.434923325,0.326197694,0.311546533,0.44276413,0.230323093,0.540242144,0.7113103920703381,-1.1757284018418301,2.503815298286374
GCA_000021965,0.614604216,0.775176428,0.635514119,0.674256067,0.171236959,0.548565147,0.724863212,0.424483772,0.142009306,0.230614449,0.135946405,0.744796927,0.631430845,0.181388456,0.687426855,0.92334057,4.294763202018717,-2.658229818452616,-0.22235933981366945
GCA_000025285,0.247108125,0.237723762,0.18543845,0.571093434,0.361670573,0.163887967,0.242250852,0.143568494,0.127562923,0.296082498,0.194231195,0.27269914,0.256788951,0.203722292,0.587388903,0.304345657,-1.1850461685698903,0.16605247942528523,0.054616960980734756
GCA_000025505,0.239586174,0.237886431,0.177196535,0.54463985,0.453787965,0.205785459,0.237500201,0.133123421,0.184238818,0.312093989,0.200478825,0.351457547,0.265065766,0.184252598,0.471168836,0.316728586,-1.0982904768743469,0.3570591736585063,-0.4143557059220802
GCA_000025665,0.197926149,0.247770597,0.12885128,0.19944604,0.058345264,0.206707415,0.187177796,0.252078718,0.077756852,0.401586606,0.445169534,0.187250839,0.383667247,0.411261618,0.302896271,0.057519636,-1.7283404556194322,1.0675089355871048,1.8732369284972865
GCA_000063445,0.283368898,0.292909748,0.232861349,0.605459609,0.371890674,0.355521168,0.449246478,0.399320528,0.233743167,0.239651828,0.056203144,0.440386608,0.38813385,0.143416023,0.51459276,0.34771329,0.05631770308326763,-0.562926293993948,-1.3002177413838412
GCA_000092305,0.067212858,0.124876722,0.208963022,0.330453085,0.362128164,0.052933628,0.114178383,0.203829624,0.374228412,0.501507107,0.143193389,0.101976958,0.176151801,0.13178454,0.122008933,0.285509618,-2.663689045850116,-0.22538086606496868,0.21392486166196487
GCA_000092465,0.463294085,0.646885923,0.790368184,0.312925944,0.309468525,0.28388539,0.190080981,0.822121885,0.676084517,0.585993761,0.618216249,0.711972637,0.710109919,0.576001028,0.920964142,0.842020814,6.072019372386925,-1.1492355456077887,4.217805794115815
