name,COG0016,COG0048,COG0049,COG0051,COG0052,COG0072,COG0080,COG0081,COG0087,COG0088,COG0090,COG0091,COG0092,COG0093,COG0094,COG0096,COG0097,COG0098,COG0099,COG0100,COG0103,COG0127,COG0149,COG0164,COG0184,COG0185,COG0186,COG0197,COG0198,COG0200,COG0244,COG0256,COG0343,COG0504,COG0532,COG0533,COG0541,PCA_Score1(0.3788800313633495),PCA_Score2(0.08864301227468922),PCA_Score3(0.05932774093286737)
ANME2a_UWMA-0185_GCA_012962625,0.368742192,0.254884217,0.123470037,0.234866424,0.301395762,,0.094520171,0.20257888,0.272473295,0.158617335,0.744438804,0.484446484,0.303810162,0.39251082,0.356883597,0.260577101,0.251066126,0.363616672,0.419187995,0.119265877,0.245947202,0.108883504,0.527361966,0.437685688,0.151953495,0.054248544,0.44754833,0.446454169,0.080341963,0.498048645,0.155500837,0.456333562,0.389466118,0.234804608,0.592243118,0.332066372,0.3551319,-0.5443282031408647,3.4558941663410634,-1.985294646469863
Bathyarchaeota-3300028193_21,0.183593336,0.429087567,0.521269953,0.173112315,,,0.331047597,0.259951309,0.240165742,0.270165039,0.180632488,0.210554364,0.374763178,0.482363586,0.487661069,0.363100062,0.25904712,0.128070049,0.163103642,0.262034305,0.325102398,0.256539768,,0.408242593,0.542853621,0.303179213,0.380934859,,0.217790379,0.269614419,0.183595271,0.179755362,0.313674032,0.520298448,0.346484273,0.125146121,0.409402529,-0.6673626437349902,-1.0412432812345227,-0.5068749904153921
CaMethanoflorens_stordalenmirensis2518645542,0.247040523,0.196131601,0.071688264,0.340288881,0.31065785,0.249699357,0.156401823,0.208344028,0.202651103,0.209718728,0.754315858,0.384677105,0.304058902,0.413985707,0.346774627,0.233623998,0.228081191,0.404383731,0.452905396,0.084965646,0.236247761,0.140671615,0.322648293,0.419770236,0.124608055,0.063051062,0.417311581,0.369379958,0.114846846,0.548132908,0.176116601,0.460151991,0.353602088,0.277358583,0.592434594,0.317223753,0.324632713,-0.8352629358109426,3.3751113493921188,-2.094265033836482
CaNuwarchaeum_spEEE104,0.180865762,,,0.12368439,,,,0.021698949,0.071249304,,,0.279462942,0.050599267,0.07129717,,,0.2371908,0.143791601,,,0.061080242,,0.131593459,,,0.134880368,0.200049826,,,0.155407399,0.144305928,,0.186322473,,,,0.371087132,-2.843186270883321,-1.0130107713551393,-1.081093808000533
CaNuwarchaeum_spEEE17,0.419833397,0.087299993,0.228221116,,,0.033146115,,,0.108918468,0.201784405,0.03218614,0.271090948,,,0.276364211,0.517183292,0.191989216,0.293172591,,,,0.090737137,0.138293669,0.203790615,0.112021264,0.157381847,,,,,,0.133382089,0.20398552,0.045640251,0.125557744,0.119902278,0.292140688,-2.612491401956437,-0.11749073563455362,0.2590397490080501
GCA_000007185,0.150677883,0.161264396,0.367944427,0.102138356,0.144215943,0.045072404,0.076159097,0.073963833,0.214120999,0.223708565,0.382106893,0.376400462,0.033179963,0.115747998,0.414870914,0.304341511,0.117454315,0.280924648,0.107260316,0.148346688,0.201161614,0.11426569,0.069359724,0.457489846,0.225055731,0.255192518,0.288612975,0.218948969,0.261961757,0.161916256,0.134020187,0.37752198,0.122920251,0.103191974,0.250898895,0.081447238,,-4.171029262939833,0.027440312927764856,-1.3528469641818233
GCA_000008085,0.172190003,0.216266341,0.337819488,,0.164307231,0.122351471,0.268618053,0.155257594,0.024163268,0.244830102,0.092011818,,0.147580249,0.263606272,0.143287141,0.381162958,0.139941828,0.102025938,0.185162951,0.248928028,0.193867594,,,0.307680266,0.181457246,0.119785911,0.358426567,0.247881209,0.056629396,,0.071929081,0.201568847,0.055476952,,0.102430769,0.182538894,,-3.9356441461953477,-0.8511068562701236,-0.7427438304354271
GCA_000009185,,,,0.523305894,0.454038757,,0.397070024,0.626956097,,,0.59645617,,,0.637606128,0.660285923,,,0.722888686,0.569112817,,0.565251038,,0.310730295,0.359471442,,0.354977821,0.701580006,,,,,,,0.383209036,,0.467297536,,2.835810334238927,1.0806542363871785,-0.21870767796594265
GCA_000011205,0.256748629,0.575089555,0.483435311,0.67695361,0.185853266,0.156982,0.519019812,0.399599787,0.450695794,0.414318487,0.168161874,0.051458958,0.234880265,0.175668394,0.246702338,0.640661749,0.337188053,0.3047329,0.558785582,0.542019286,0.154691801,0.247266215,0.54158932,0.853907293,0.525288755,0.488689404,0.242602984,0.304422014,0.493737902,0.236584745,0.708127195,0.580822086,0.11667171,0.144829884,0.414362484,0.221081228,0.699337996,2.6258814126560175,-3.607619975546123,-0.9534927813746807
GCA_000015145,0.298321467,0.872365569,0.674242132,0.542277254,0.158031574,0.164505349,0.787384935,0.729769455,0.973918879,0.78714946,0.373314483,0.312303655,0.252154113,0.189317692,0.776621118,0.801673914,0.629229465,0.351696102,0.615528594,0.726493918,0.187437514,0.279475131,0.491600593,0.59653073,0.816536922,0.824651766,0.784675373,0.684033966,0.431900661,0.80267337,0.823481748,0.804296897,0.145803943,0.177174193,0.677881444,0.234863742,,7.855905829322967,-5.049211510597052,-0.7032975141457822
GCA_000015765,0.528009229,0.286612968,0.063762886,0.497318124,0.467711125,0.39547209,0.341801687,0.381690574,0.505696491,0.31369904,0.600221648,0.227548435,0.502646602,0.573532147,0.343217215,0.126195486,0.204314639,0.338616289,0.453741002,0.091991962,0.661059695,0.083245193,0.314375642,0.294350379,0.191017685,0.116473758,0.753318036,0.568409972,0.121393983,0.638591854,0.221654885,0.725089116,0.503193738,0.517195047,0.551766461,0.500469447,,2.421365751206518,4.010409100054591,-2.0757017475205086
GCA_000016125,0.158644357,0.055825432,0.121657249,0.090426052,0.114126878,0.078099417,0.104384957,0.046287235,0.156234476,0.184876346,0.416153052,0.294770247,0.044985216,0.127434947,0.140069274,0.438835351,0.498228388,0.370259663,0.043832801,0.153619757,0.092122287,0.060784929,0.236291508,0.038430554,0.011045423,0.11179157,0.099603242,0.208931545,0.055312102,0.099909978,0.099126062,0.270190597,0.231151074,0.036629073,0.175060624,0.189673533,0.307668191,-5.506256263842945,1.4347835966590456,-1.23579400309532
GCA_000016605,0.248664296,0.551054331,0.483793523,0.655321461,0.186471472,0.150595864,0.458991078,0.41571828,0.391035306,0.343664987,0.15411979,0.032373044,0.27207246,0.195982111,0.22391111,0.6899106,0.275479002,0.296762431,0.425253877,0.510610837,0.149799754,0.179339088,0.523967478,0.81347156,0.516855878,0.434923325,0.326197694,0.311546533,0.44276413,0.230323093,0.728768633,0.540242144,0.131511155,0.157967408,0.437188082,0.240162601,0.700451405,2.1011416343686005,-3.235034530495158,-1.1388534533246575
GCA_000021965,0.674228568,0.501189228,0.08021162,0.614604216,0.574321637,0.517274714,0.386936164,0.580916443,0.775176428,0.635514119,0.674256067,0.171236959,0.548565147,0.724863212,0.424483772,0.142009306,0.230614449,0.353691985,0.629738061,0.102198042,0.771357791,0.121962388,0.455790671,0.290704781,0.199266942,0.135946405,0.744796927,0.631430845,0.181388456,0.687426855,0.285585271,0.92334057,0.597223437,0.708966976,0.737430599,0.543553334,0.778465048,5.981137153337194,3.9702589941645097,-3.0921155370495845
GCA_000025285,0.256301922,0.150508581,0.159020275,0.247108125,0.205300227,0.353535217,0.043671338,0.161673556,0.237723762,0.18543845,0.571093434,0.361670573,0.163887967,0.242250852,0.143568494,0.127562923,0.296082498,0.285671573,0.355248277,0.046691956,0.218156219,0.09555268,0.18442529,0.061054509,0.175689877,0.194231195,0.27269914,0.256788951,0.203722292,0.587388903,0.095434549,0.304345657,0.305359623,0.265514274,,0.244471774,0.221532119,-3.0587996065062764,2.9239277906739165,-1.1643995235128222
GCA_000025505,0.250043067,0.156601541,0.144219351,0.239586174,0.208439572,0.321771275,0.058238415,0.183360733,0.237886431,0.177196535,0.54463985,0.453787965,0.205785459,0.237500201,0.133123421,0.184238818,0.312093989,0.296809036,0.317054877,0.036980673,0.215918009,0.083076683,0.172750278,0.049868167,0.200902777,0.200478825,0.351457547,0.265065766,0.184252598,0.471168836,0.115878513,0.316728586,0.285794214,0.293115531,0.433263252,0.219865057,,-2.8206655021189992,2.8664485436312965,-1.082672235866492
GCA_000025665,0.358542819,0.340244537,0.111854222,0.197926149,0.274692483,0.124051492,0.134528662,0.279609076,0.247770597,0.12885128,0.19944604,0.058345264,0.206707415,0.187177796,0.252078718,0.077756852,0.401586606,0.560859441,0.208482469,0.325542287,0.205323684,0.259736462,0.018024466,0.326275716,0.097315712,0.445169534,0.187250839,0.383667247,0.411261618,0.302896271,0.242038193,0.057519636,0.196148189,0.111793877,0.273010367,0.189658317,,-2.743549620074291,0.3450024896598585,1.7051667150290124
GCA_000063445,0.06372301,0.222313439,0.038371031,0.283368898,0.306238645,0.01535929,0.113539771,0.309434014,0.292909748,0.232861349,0.605459609,0.371890674,0.355521168,0.449246478,0.399320528,0.233743167,0.239651828,0.357538338,0.505096653,0.079438336,0.237537243,0.052764112,0.014103523,0.178901933,0.174907341,0.056203144,0.440386608,0.38813385,0.143416023,0.51459276,0.198261303,0.34771329,0.420129466,0.314117347,0.571568435,0.334571228,,-1.534309517686723,2.995293105731133,-1.4167248662651721
GCA_000092305,0.079656615,0.056452459,0.12615374,0.067212858,0.138450677,0.052957683,0.090395076,0.044530786,0.124876722,0.208963022,0.330453085,0.362128164,0.052933628,0.114178383,0.203829624,0.374228412,0.501507107,0.374856473,0.043604253,0.144385789,0.065210608,0.08881965,0.158785179,0.072790857,0.142634968,0.143193389,0.101976958,0.176151801,0.13178454,0.122008933,0.093064866,0.285509618,0.234428472,0.029490748,,0.160617656,0.314754746,-5.35406517406248,1.2119593427059143,-1.1022812229541585
GCA_000092465,0.883855733,0.903163969,0.558180717,0.463294085,0.161039017,0.067320208,0.795437814,0.802014651,0.646885923,0.790368184,0.312925944,0.309468525,0.28388539,0.190080981,0.822121885,0.676084517,0.585993761,0.347134301,0.625252325,0.638460106,0.190830546,0.291900582,1.0,0.72956698,0.87705483,0.618216249,0.711972637,0.710109919,0.576001028,0.920964142,0.777073394,0.842020814,0.120728292,0.180203576,0.923327753,0.331318095,,8.740982691376036,-4.9799802116357785,-1.3945764503803626
GCA_000145985,0.273858634,0.579795078,0.464883801,0.403191326,0.155308482,0.13246762,0.589029615,0.366824551,0.610200557,0.425201578,0.24373669,0.124410364,0.204214927,0.199443234,0.478761535,0.600443907,0.345683136,0.246337337,0.407224236,0.657729984,0.182274348,0.265620048,0.460646981,0.539328441,0.517891511,0.482620508,0.571032403,0.4058803,0.424995897,0.413030999,0.585354412,0.475176147,0.125969231,0.140727764,0.48457753,0.254695355,,2.346705492910716,-3.583897468814609,-0.7109433752252862
GCA_000151105,0.537685886,0.13790096,0.24735347,0.069188874,0.1214395,0.097354607,0.032103833,0.045679669,0.183954465,0.260507675,0.379393833,0.149715619,0.021967091,0.048812815,0.439315539,0.393229204,0.387394305,0.405560213,0.075242485,0.170776876,0.074671996,0.170561987,0.278825462,0.142185401,0.155244083,0.199482857,0.08490716,0.153334347,0.26830931,0.133244439,0.13513573,0.433777445,0.178900101,0.137550686,,0.170489032,0.281886952,-4.118559104757639,0.2014106836134907,-1.5356400065507763
GCA_000166095,0.101967517,0.217394674,0.229961338,0.126288898,0.132140157,0.104049968,0.105700805,0.056129192,0.123087046,0.324976349,0.312322073,0.437673048,0.096444856,0.143273231,0.146717959,0.601233875,0.437018681,0.510706472,0.075314517,0.10281798,0.269401106,0.096924666,0.290801299,0.072797753,0.10595269,0.227970663,0.161198421,0.399485347,0.14637365,0.109258466,0.183944281,0.322772374,0.356926533,0.018709545,0.310754261,0.187223136,0.395618704,-3.66026321638491,1.4034286367122641,-1.0772342642868502
GCA_000191585,0.097514512,0.162997444,0.30950841,0.183739499,0.178761938,0.106321072,0.178726092,0.063340624,0.116548084,0.489607129,0.619265496,0.569076293,0.162361421,0.173062704,0.18124729,0.861347092,0.507124042,0.82694847,0.065188785,0.09567304,0.345828093,0.090618027,0.459363184,0.072077899,0.018584013,0.233827651,0.252517083,0.506489925,0.117969316,0.14569759,0.479381055,0.238657975,,0.021285274,0.424003449,0.270698641,,-1.8003806213471572,1.93840347235359,-1.5781199557156296
